"source","target"
"x1189461676380315649","x446288792"
"x775389437672947717","x2464135300"
"x1344622013487443968","x446288792"
"x385869391","x843546356224577536"
"x3003454685","x914862650928005120"
"x412098814","x843546356224577536"
"x859022113793089540","x2812915504"
"x770953154812907524","x2812915504"
"x1264409706220716033","x2812915504"
"x1160420258","x2812915504"
"x1081914894268674048","x2812915504"
"x772727915251458048","x2464135300"
"x1289231576614699008","x2812915504"
"x2436868567","x1470463776"
"x29455283","x129774250"
"x1187127830687211520","x560514105"
"x158077046","x164668261"
"x1628013038","x967484690"
"x578781274","x967484690"
"x2919453322","x2561867551"
"x857848934756212736","x2561867551"
"x901912627332489216","x616274734"
"x360841766","x217750713"
"x4248518919","x2882771723"
"x90151129","x2882771723"
"x351620146","x2882771723"
"x769514678","x2882771723"
"x4009880919","x2882771723"
"x297332483","x2882771723"
"x419739788","x2882771723"
"x476102969","x2882771723"
"x2176488392","x2882771723"
"x928335582136295424","x2882771723"
"x273101809","x2882771723"
"x560279816","x2882771723"
"x166643998","x2882771723"
"x1226791152038371329","x2882771723"
"x606422203","x560297386"
"x716211995071086592","x2882771723"
"x187583179","x2882771723"
"x1053287888333561857","x2882771723"
"x4171596268","x2882771723"
"x2645560328","x2882771723"
"x541557919","x2882771723"
"x1465450662","x2882771723"
"x435861912","x2882771723"
"x799354839763472384","x2882771723"
"x2375636917","x2882771723"
"x2236085510","x560425542"
"x591841419","x560425542"
"x387659445","x560425542"
"x4250179757","x2882771723"
"x471031900","x560425542"
"x572784244","x560425542"
"x1239105591806693376","x2882771723"
"x1177544253834244096","x560425542"
"x2296559155","x2882771723"
"x1035997191989592072","x2882771723"
"x30066482","x560425542"
"x866658628178243585","x2882771723"
"x399333365","x1244590199285432321"
"x85512499","x2882771723"
"x2903697543","x2882771723"
"x105090382","x2882771723"
"x1276570083859587072","x2882771723"
"x1334635362","x2882771723"
"x1276181985224843265","x560425542"
"x2327437890","x2882771723"
"x860632369564438528","x2882771723"
"x1234577279235260419","x2882771723"
"x1021427612361678849","x2882771723"
"x154643569","x2882771723"
"x1081922208379924487","x560425542"
"x6812352","x2882771723"
"x1916806447","x2882771723"
"x1032280341321531392","x2882771723"
"x1035902366","x967484690"
"x1249059870013296640","x1244590199285432321"
"x205921954","x2882771723"
"x1215565658479583232","x2882771723"
"x1063843098852237314","x2882771723"
"x804663900293709826","x2882771723"
"x40466483","x2882771723"
"x127283816","x2882771723"
"x66949549","x2882771723"
"x2160719116","x2882771723"
"x1006020644","x2882771723"
"x1045331825332297729","x2882771723"
"x1082529401596719104","x2882771723"
"x493440990","x2882771723"
"x414261087","x2882771723"
"x2447829129","x2882771723"
"x4745154003","x2882771723"
"x1251927193485279234","x2882771723"
"x19988325","x2882771723"
"x902654369895731200","x1244590199285432321"
"x142079193","x32867753"
"x1589075833","x32867753"
"x1319194929336373248","x32867753"
"x1307708458284785665","x32867753"
"x1310335361831309313","x32867753"
"x475739475","x32867753"
"x712879508","x32867753"
"x2591674621","x32867753"
"x599917072","x32867753"
"x158038261","x32867753"
"x472180197","x32867753"
"x1313757663906402314","x32867753"
"x1141796948640522241","x32867753"
"x1326621697550770176","x32867753"
"x3141616689","x32867753"
"x141074957","x32867753"
"x188253681","x32867753"
"x158890106","x32867753"
"x1307401362314088453","x32867753"
"x1219252360930832384","x32867753"
"x1048338708","x32867753"
"x3597007095","x2882771723"
"x4842279509","x32867753"
"x2287160209","x32867753"
"x1105714115065139203","x32867753"
"x1171408220","x32867753"
"x1132546778736279553","x32867753"
"x1204711338087473152","x32867753"
"x90909443","x32867753"
"x1270979864808566784","x32867753"
"x1094535902267953152","x32867753"
"x28328101","x32867753"
"x2827628732","x32867753"
