"id","label","location","sentiment_score","followers_count"
"x1323581480208052224","Jalil43489176","'s-Hertogenbosch, Nederland",1,264
"x1182647662228566017","CIairObscur","-9h from Paris",0,743
"x1256633421075537922","BourreauEric1","""Du côté d'ailleurs""",0,136
"x1275728357553057794","NEONEO36174646","Dans quel Monde Vit-on ?",13,653
"x1329871321182986241","JohannsMichel1","# Paris #HongKong #Tokyo",0,1
"x1194604729432780802","Cbapt3","#AbsurdistanAutoritaire",2,254
"x17411160","ca_agbessi","#Africa #Worlwide #ParisNow",3,714
"x392128379","DZnews_App","#Algerie",1,18340
"x14830176","mauduitf","#Barberaz #Savoie",0,802
"x566700592","schydlowski1","#Bretagne #CessonSévigné <U+0001F33A><U+0001F331>",3,1518
"x2824184857","AssomarRDC","#Congo #Belgium, #world",0,1597
"x126684188","mistersenegal","#Dakar - Sénégal",2,903
"x899431525","TRACESNEWS","#Dijon",4,2180
"x47706812","Timeo_Danaos","#DTC",3,5437
"x1063958540807806978","GilbertK57","#EnsembleAvecMacron",-5,75
"x3921551003","dd_djamila","#FBPE",1,912
"x366776796","VRwatchingU","#FranceInsoumise",6,1574
"x63422408","tdgch","#Genève, #Suisse",3,98204
"x828641172524515328","dubruly","#giquelafrance",-2,164
"x1347110121537724416","TichotB","#JeNeMeConfineraiPas",5,789
"x1347694076641083394","LblaurentL","#JeNeMeConfineraisPas",-4,80
"x44358570","From_Liege","#Liege Belgium #stay@home",2,1100
"x1152320237750104064","LOmbreD1Doute","#Ligue_Des_Optimistes",4,73
"x446486047","Samy5962","#Lille with #Aloha",0,94
"x875759558890795008","jbannecy","#Lyon #bron",5,292
"x4186799080","solangelavie","#majoritesilencieuse #weareone",2,1427
"x2876601989","CollectifNooVoo","#nantes",0,181
"x183165838","lalettreapi","#Nantes",1,6766
"x753766946","AssoRVPB","#Nice06 #Monaco #Slv06 #Paris",1,17797
"x242397898","AlexandreRault","#Paris",2,434
"x19333709","mairie15","#Paris15",1,7548
"x2479089538","LaFrancematuer","#ResisTeamFR #FBPE",1,5034
"x1091391335901339654","Wumazhen_2","#Ripoublique du macronistan",4,714
"x1067293921452179456","DidierMaisto","#StopLoiSecuriteGlobale",3,32268
"x844492449720520704","GerardHP67","#Tarbes #Bordeaux #Bilbao <U+0001F310>",2,434
"x3830266522","dlmalice","#Teampatriote #jambonbeurre",2,2489
"x1199304113487519744","Maxime72686378","#TeamPatriotes #JambonBeurre",-1,682
"x580956747","PMarlier","#Touraine",-1,928
"x320259242","fenetreeurope","#UEunitedinvictoria",1,1652
"x706467461294637057","SaphirElle83","#Var",0,2615
"x984869667184562177","HansEichbaum","#vosgesdunord",-1,1735
"x716054778","SandraB96737006","#WhiteLivesMatter complotiste",-1,496
"x2827222495","no1_nome","#wordland",10,480
"x943263685866291200","Wynrel","(x,y,z,ct)",-3,28
"x859743146804207616","PLEWINSKI141","* FRANCE * Normandie *",4,1438
"x717440996968173568","Nicoroul",", Canada",0,114
"x4251072154","chrysalideskoff",".",0,174
"x1868475794","nono2Normandie",".",-3,2175
