"source","target"
"x1109143157827125248","x2826292747"
"x50759513","x2826292747"
"x1239237935230332928","x2826292747"
"x847038714735968256","x2826292747"
"x3222623040","x2826292747"
"x1180344534355648512","x2826292747"
"x1032849138","x1218809808918401025"
"x215634829","x2826292747"
"x374651584","x2826292747"
"x735895796458086401","x2826292747"
"x59527288","x2826292747"
"x4503318695","x840190609"
"x2841203045","x2826292747"
"x224255455","x2826292747"
"x121491080","x117459814"
"x722464259322552321","x2826292747"
"x560392592","x117459814"
"x1293534600237658114","x2826292747"
"x803065819","x1357055502"
"x1069590771479834624","x1322135170833502210"
"x419821022","x2826292747"
"x1293550869196267527","x1293550869196267527"
"x1010599074377150464","x2826292747"
"x2258772237","x2826292747"
"x238951059","x200659061"
"x2232117081","x1384125012"
"x1014224002401947648","x1384125012"
"x2974381390","x1556419213"
"x18982331","x18982331"
"x18982331","x18982331"
"x1341863155396452352","x1556419213"
"x572908569","x104926858"
"x1246391089164058625","x2320480315"
"x1323693850301485056","x217750713"
"x843625487184400384","x1441524536"
"x4504468791","x217750713"
"x1543813320","x1384125012"
"x768068517828685824","x469180343"
"x612505219","x104926858"
"x887670056859176962","x4248518919"
"x87536368","x115683734"
"x3350764527","x115683734"
"x25693141","x115683734"
"x578781274","x115683734"
"x91766827","x115683734"
"x14286412","x115683734"
"x303741148","x47407545"
"x1277481085","x115683734"
"x18982331","x18982331"
"x1286750271008382977","x930875353"
"x831223908380659713","x3023497329"
"x3016651209","x625602225"
"x4197293213","x1253691918413787137"
"x593775931","x1253691918413787137"
"x1332343900766343168","x1253691918413787137"
"x1328828625752371208","x1253691918413787137"
"x1261346553664540673","x18982331"
"x1090129452","x1253691918413787137"
"x1341133162747981825","x1253691918413787137"
"x24744541","x487928002"
"x1234358782152650752","x487928002"
"x262886084","x487928002"
"x305595876","x487928002"
"x17231726","x487928002"
"x115394143","x487928002"
"x76326683","x487928002"
"x755271463","x487928002"
"x1252129106029883392","x487928002"
"x102678232","x487928002"
"x393881941","x487928002"
"x73764260","x487928002"
"x895095735238000640","x487928002"
"x2918151781","x487928002"
"x1035940122179629056","x487928002"
"x857257955594469376","x487928002"
"x1202366772747407366","x487928002"
"x2340642181","x487928002"
"x486037389","x17350474"
"x25693141","x487928002"
"x1145995544","x487928002"
"x1290562556239720448","x487928002"
"x2969769897","x487928002"
"x2362312212","x487928002"
"x4355012123","x487928002"
"x818155654112309248","x487928002"
"x2609414604","x487928002"
"x2663997800","x487928002"
"x572553669","x487928002"
"x4892561399","x487928002"
"x738015595","x487928002"
"x1029820463432777728","x487928002"
"x1369005530","x487928002"
"x1189431104","x487928002"
"x1353976778822451200","x487928002"
"x1014087125246136320","x487928002"
"x223802429","x487928002"
"x1629866418","x115683734"
"x77381920","x487928002"
"x298884082","x487928002"
"x27916814","x487928002"
"x1265207170829819904","x487928002"
"x72862293","x487928002"
"x1137097998033412097","x487928002"
"x2442792172","x487928002"
"x1124956412952576000","x487928002"
"x707815563","x487928002"
"x2227355929","x1253691918413787137"
"x308197847","x487928002"
"x1349394345787584512","x487928002"
"x1255339507","x472412809"
"x1088177246093959175","x1118605648260939777"
"x3305503630","x978970980994469888"
"x1062309299932856320","x49923073"
"x1079178177866551296","x472412809"
"x723464995317682176","x472412809"
"x390945902","x472412809"
"x3002156755","x472412809"
"x2919453322","x1118605648260939777"
"x1224140738","x472412809"
"x611837926","x472412809"
"x469181613","x42358454"
"x1134081816","x472412809"
"x2697902882","x472412809"
"x14069492","x472412809"
"x1218940307313700865","x472412809"
"x1329908437124341761","x1118605648260939777"
"x431001817","x472412809"
"x3772046667","x1118605648260939777"
"x529480094","x472412809"
"x91363255","x1118605648260939777"
"x1105714115065139203","x472412809"
"x29076816","x472412809"
"x794585173727838208","x1118605648260939777"
"x930930849708761088","x472412809"
"x309178937","x1118605648260939777"
"x3782270176","x200659061"
"x86540479","x472412809"
"x1138462438045683712","x472412809"
"x1002453265613803520","x1118605648260939777"
"x4850063765","x4850063765"
"x2190217948","x1118605648260939777"
"x3390107080","x472412809"
"x1871917651","x472412809"
"x864138756068134912","x472412809"
"x517580474","x472412809"
"x2324177546","x1118605648260939777"
"x4593418936","x472412809"
"x1247807315132026882","x472412809"
"x15186797","x472412809"
"x234504980","x472412809"
"x1190032966854074373","x472412809"
"x767565804414066688","x1118605648260939777"
"x1016606139381964800","x1118605648260939777"
"x3694054096","x472412809"
"x1050078715399598080","x472412809"
"x222470270","x1118605648260939777"
"x1335864786085666816","x472412809"
"x881602490386583552","x431852323"
"x840880831459676160","x472412809"
"x2628487473","x38142665"
"x441559331","x861574608"
"x4469955912","x472412809"
"x2848407917","x861574608"
"x4399077513","x1118605648260939777"
"x17593012","x861574608"
"x466681297","x978970980994469888"
"x608830992","x4018608772"
"x737656355750858753","x472412809"
"x1281422509","x472412809"
"x796152335236001792","x472412809"
"x1256339893288153088","x472412809"
"x3255853215","x472412809"
"x960135000","x1118605648260939777"
"x837324911337164800","x1118605648260939777"
"x305715428","x472412809"
"x501983420","x861574608"
"x1089156563774963712","x472412809"
"x1343625887716171777","x472412809"
"x302731241","x1118605648260939777"
"x847102190925873152","x1118605648260939777"
"x1433355343","x1118605648260939777"
"x1248216947671646213","x472412809"
"x1123943946542039043","x1118605648260939777"
"x112186173","x978970980994469888"
"x1344679957650403332","x472412809"
"x1173564870702391298","x472412809"
"x1245747825503338498","x472412809"
"x829500602","x472412809"
"x125049715","x1118605648260939777"
"x1070931951832444928","x1118605648260939777"
"x2874068475","x299018689"
"x2963515104","x487928002"
"x1296558947952992258","x431852323"
"x1048559300493398016","x472412809"
"x1207348525799034881","x1118605648260939777"
"x3365973429","x472412809"
"x44714427","x472412809"
"x127659284","x299018689"
"x1441524536","x299018689"
"x346426848","x299018689"
"x1418417286","x1118605648260939777"
"x132161318","x472412809"
"x1129853060090662913","x472412809"
"x2325317557","x861574608"
"x2223203763","x472412809"
"x756067467311648768","x1267207127388520448"
"x399034130","x299018689"
"x1316750307242766336","x472412809"
"x435879159","x1033745532630519810"
"x1142160696","x1351475267458523136"
"x2873442574","x472412809"
"x800430785979265024","x1118605648260939777"
"x754637253155098624","x472412809"
"x1280068408520904705","x472412809"
"x1234067983946915843","x472412809"
"x4843351907","x1118605648260939777"
"x3024877445","x1118605648260939777"
"x3310681625","x338985020"
"x1114218158037110784","x472412809"
"x1262058650388103173","x472412809"
"x827817925973245952","x1118605648260939777"
"x635983880","x472412809"
"x878563937687666688","x472412809"
"x263036313","x1118605648260939777"
"x1365230282","x472412809"
"x1127568591296004096","x472412809"
"x1021828581847121926","x1118605648260939777"
"x378103424","x1731311"
"x556902767","x1118605648260939777"
"x1243110834450161670","x1118605648260939777"
"x1181597115237257216","x472412809"
"x4831072336","x1118605648260939777"
"x400830302","x556068872"
"x1300150750874660865","x75509930"
"x1241735680650289152","x200659061"
"x19907698","x472412809"
"x857328029688877058","x75509930"
"x1235692866732728320","x472412809"
"x1011690442537172994","x472412809"
"x412098814","x1118605648260939777"
"x475739475","x472412809"
"x522525015","x472412809"
"x810527987342962688","x1118605648260939777"
"x859001253099130880","x556068872"
"x873610185855709188","x556068872"
"x2664522950","x3251797396"
"x17452882","x338985020"
"x701512722853318656","x75509930"
"x1211749620461629440","x75509930"
"x1083117836334190593","x804663900293709826"
"x305447437","x1118605648260939777"
"x1005161869554921472","x1118605648260939777"
"x1242764474777509888","x472412809"
"x1349010123755315207","x472412809"
"x362591083","x1118605648260939777"
"x2165000367","x861574608"
"x1317837329168519169","x472412809"
"x1068896686825705473","x1118605648260939777"
"x2966670748","x1118605648260939777"
"x3409094878","x472412809"
"x3053786963","x472412809"
"x1230827518258749440","x1118605648260939777"
"x1966588514","x1118605648260939777"
"x1280587439254523907","x431852323"
"x781782871946170368","x38142665"
"x3129808697","x804663900293709826"
"x3710400886","x122672828"
"x706875423024619520","x472412809"
"x1252179049159577601","x472412809"
"x91354290","x472412809"
"x1278022816722554891","x487928002"
"x571539412","x1118605648260939777"
"x1273915430126714880","x472412809"
"x1217526265722347520","x1118605648260939777"
"x533997282","x472412809"
"x457043515","x299018689"
"x1356233052","x472412809"
"x1008749472891928576","x1118605648260939777"
"x788783749546803201","x472412809"
"x757063603","x472412809"
"x3141616689","x472412809"
"x989108275","x472412809"
"x1309095249818644481","x472412809"
"x1680873980","x1118605648260939777"
"x2464206528","x1118605648260939777"
"x722320910217306112","x1118605648260939777"
"x767675142","x472412809"
"x918086265127522309","x978970980994469888"
"x781200163008290816","x472412809"
"x383849992","x1118605648260939777"
"x1324276708606922752","x472412809"
"x728995464494845953","x105488203"
"x1309167849706057728","x472412809"
"x564606162","x200659061"
"x1259133202511396864","x1118605648260939777"
"x3038633291","x472412809"
"x3357390305","x1118605648260939777"
"x243203196","x148034143"
"x490570020","x1118605648260939777"
"x1075468827876646912","x978970980994469888"
"x766718790134530048","x1118605648260939777"
"x958840780386394113","x1118605648260939777"
"x707908811470802944","x1118605648260939777"
"x2460425098","x75509930"
"x801935852091936768","x472412809"
"x4210408893","x472412809"
"x2582581352","x1118605648260939777"
"x1219252360930832384","x472412809"
"x4534766416","x472412809"
"x1251604152737828869","x472412809"
"x3038633291","x4018608772"
"x908719666373251072","x1118605648260939777"
"x3357961161","x1118605648260939777"
"x2873557612","x556068872"
"x92957348","x472412809"
"x1253944197167697922","x472412809"
"x1488638768","x1118605648260939777"
"x1323266585595924480","x472412809"
"x1305403829068988417","x75509930"
"x236867057","x1118605648260939777"
"x485711961","x1118605648260939777"
"x496834503","x861574608"
"x1887990950","x1118605648260939777"
"x1081656081926053889","x472412809"
"x195332262","x1118605648260939777"
"x834107231113211904","x472412809"
"x4842279509","x472412809"
"x975465309896347649","x338985020"
"x703586030339923969","x1118605648260939777"
"x79431026","x1118605648260939777"
"x1243248756985868291","x472412809"
"x1194265386910437377","x200659061"
"x818099813749297155","x1118605648260939777"
"x1040696441893801984","x978970980994469888"
"x2213148787","x472412809"
"x1314523876148293634","x1118605648260939777"
"x3010353886","x472412809"
"x899358442405679105","x2972088165"
"x1198401205","x83864876"
"x157153504","x1118605648260939777"
"x763466725","x1118605648260939777"
"x1318258985573715969","x472412809"
"x362918279","x804663900293709826"
"x1105203184983834625","x472412809"
"x785926505180205056","x338985020"
"x722379381818187777","x2972088165"
"x1477461606","x978970980994469888"
"x1094700116","x978970980994469888"
"x976441328115601408","x1118605648260939777"
"x1300058053186924544","x1118605648260939777"
"x1329933978313367554","x1118605648260939777"
